Date,Month,Day,Weekday,Heating perid or not,PM2.5 Grade
2018/6/12,6,12,2,0,1
2018/6/13,6,13,3,0,1
2018/6/14,6,14,4,0,1
2018/6/15,6,15,5,0,1
2018/6/16,6,16,6,0,1
2018/6/17,6,17,7,0,1
2018/6/18,6,18,1,0,1
2018/6/19,6,19,2,0,1
2018/6/20,6,20,3,0,1
2018/6/21,6,21,4,0,1
2018/6/22,6,22,5,0,1
2018/6/23,6,23,6,0,1
2018/6/24,6,24,7,0,1
2018/6/25,6,25,1,0,1
2018/6/26,6,26,2,0,1
2018/6/27,6,27,3,0,1
2018/6/28,6,28,4,0,1
2018/6/29,6,29,5,0,1
2018/6/30,6,30,6,0,1
2018/7/1,7,1,7,0,1
2018/7/2,7,2,1,0,1
2018/7/3,7,3,2,0,1
2018/7/4,7,4,3,0,1
2018/7/5,7,5,4,0,1
2018/7/6,7,6,5,0,1
2018/7/7,7,7,6,0,1
2018/7/8,7,8,7,0,1
2018/7/9,7,9,1,0,1
2018/7/10,7,10,2,0,1
2018/7/11,7,11,3,0,1
2018/7/12,7,12,4,0,1
2018/7/13,7,13,5,0,1
2018/7/14,7,14,6,0,1
2018/7/15,7,15,7,0,1
2018/7/16,7,16,1,0,1
2018/7/17,7,17,2,0,1
2018/7/18,7,18,3,0,1
2018/7/19,7,19,4,0,1
2018/7/20,7,20,5,0,1
2018/7/21,7,21,6,0,1
2018/7/22,7,22,7,0,1
2018/7/23,7,23,1,0,1
2018/7/24,7,24,2,0,1
2018/7/25,7,25,3,0,1
2018/7/26,7,26,4,0,1
2018/7/27,7,27,5,0,1
2018/7/28,7,28,6,0,1
2018/7/29,7,29,7,0,1
2018/7/30,7,30,1,0,1
2018/7/31,7,31,2,0,1
2018/8/1,8,1,3,0,1
2018/8/2,8,2,4,0,1
2018/8/3,8,3,5,0,1
2018/8/4,8,4,6,0,1
2018/8/5,8,5,7,0,1
2018/8/6,8,6,1,0,1
2018/8/7,8,7,2,0,1
2018/8/8,8,8,3,0,1
2018/8/9,8,9,4,0,1
2018/8/10,8,10,5,0,1
2018/8/11,8,11,6,0,1
2018/8/12,8,12,7,0,1
2018/8/13,8,13,1,0,1
2018/8/14,8,14,2,0,1
2018/8/15,8,15,3,0,1
2018/8/16,8,16,4,0,1
2018/8/17,8,17,5,0,1
2018/8/18,8,18,6,0,1
2018/8/19,8,19,7,0,1
2018/8/20,8,20,1,0,1
2018/8/21,8,21,2,0,1
2018/8/22,8,22,3,0,1
2018/8/23,8,23,4,0,1
2018/8/24,8,24,5,0,1
2018/8/25,8,25,6,0,1
2018/8/26,8,26,7,0,1
2018/8/27,8,27,1,0,1
2018/8/28,8,28,2,0,1
2018/8/29,8,29,3,0,1
2018/8/30,8,30,4,0,1
2018/8/31,8,31,5,0,1
2018/9/1,9,1,6,0,1
